name,latitude,longitude,population,time_Date,gathered_Date,url
USA,39.7837304,-100.445882,331003,Unknown,2023-04-19 01:55:36.892548,https://www.nrk.no/
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-19 01:55:36.892562,https://www.nrk.no/
Sudan,14.5844444,29.4917691,43849,Unknown,2023-04-19 01:55:36.892568,https://www.nrk.no/
Ukraina,49.4871968,31.2718321,43734,Unknown,2023-04-19 01:55:36.892573,https://www.nrk.no/
Jemen,16.3471243,47.8915271,29826,Unknown,2023-04-19 01:55:36.892579,https://www.nrk.no/
Tunisia,33.8439408,9.400138,11819,Unknown,2023-04-19 01:55:36.892584,https://www.nrk.no/
Danmark,55.670249,10.3333283,5792,Unknown,2023-04-19 01:55:36.892589,https://www.nrk.no/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892594,https://www.nrk.no/
USA,39.7837304,-100.445882,331003,Unknown,2023-04-19 01:55:36.892599,https://www.nrk.no/nyheter/
Italia,42.6384261,12.674297,60462,Unknown,2023-04-19 01:55:36.892605,https://www.nrk.no/nyheter/
Sudan,14.5844444,29.4917691,43849,Unknown,2023-04-19 01:55:36.892610,https://www.nrk.no/nyheter/
Afghanistan,33.7680065,66.2385139,38928,Unknown,2023-04-19 01:55:36.892615,https://www.nrk.no/nyheter/
Tunisia,33.8439408,9.400138,11819,Unknown,2023-04-19 01:55:36.892620,https://www.nrk.no/nyheter/
Danmark,55.670249,10.3333283,5792,Unknown,2023-04-19 01:55:36.892625,https://www.nrk.no/nyheter/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892629,https://www.nrk.no/nyheter/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892634,https://www.nrk.no/sport/
USA,39.7837304,-100.445882,331003,Unknown,2023-04-19 01:55:36.892639,https://www.nrk.no/kultur/
Russland,64.6863136,97.7453061,145934,Unknown,2023-04-19 01:55:36.892644,https://www.nrk.no/kultur/
Ukraina,49.4871968,31.2718321,43734,Unknown,2023-04-19 01:55:36.892649,https://www.nrk.no/kultur/
Canada,61.0666922,-107.991707,37742,Unknown,2023-04-19 01:55:36.892654,https://www.nrk.no/kultur/
Mali,16.3700359,-2.2900239,20251,Unknown,2023-04-19 01:55:36.892659,https://www.nrk.no/kultur/
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.892664,https://www.nrk.no/kultur/
