name,latitude,longitude,type,published,gathered,url
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995058,https://www.nrk.no/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995074,https://www.nrk.no/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995079,https://www.nrk.no/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995085,https://www.nrk.no/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995090,https://www.nrk.no/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995095,https://www.nrk.no/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995100,https://www.nrk.no/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995104,https://www.nrk.no/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995109,https://www.nrk.no/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995114,https://www.nrk.no/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995118,https://www.nrk.no/
Nord,60.438027142271977,11.581759132661137,Kommune,Unknown,2023-04-19 02:39:04.995122,https://www.nrk.no/
Trondheim,63.369738815446532,10.396368817141465,Kommune,Unknown,2023-04-19 02:39:04.995127,https://www.nrk.no/
Halden,59.086116252306979,11.492144735778032,Kommune,Unknown,2023-04-19 02:39:04.995132,https://www.nrk.no/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995137,https://www.nrk.no/nyheter/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995142,https://www.nrk.no/nyheter/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995146,https://www.nrk.no/nyheter/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995151,https://www.nrk.no/nyheter/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995156,https://www.nrk.no/nyheter/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995161,https://www.nrk.no/nyheter/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995166,https://www.nrk.no/nyheter/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995170,https://www.nrk.no/nyheter/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995175,https://www.nrk.no/nyheter/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995179,https://www.nrk.no/nyheter/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995184,https://www.nrk.no/nyheter/
Sør,60.223645867561061,11.753809128115085,Kommune,Unknown,2023-04-19 02:39:04.995189,https://www.nrk.no/nyheter/
Trondheim,63.369738815446532,10.396368817141465,Kommune,Unknown,2023-04-19 02:39:04.995194,https://www.nrk.no/nyheter/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995199,https://www.nrk.no/nyheter/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995204,https://www.nrk.no/sport/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995208,https://www.nrk.no/sport/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995212,https://www.nrk.no/sport/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995217,https://www.nrk.no/sport/
